content,ref,citation
 손혜원 이어 장제원-송언석도 의혹민주당 “국회의원 전수조사 하자”… 한국당 “손혜원 의혹 물타기 경계”국회 안팎 “공직자윤리법 개정해 이해충돌 방지 기준 마련해야”더불어민주당을 탈당한 무소속 손혜원 의원의 이해충돌방지법 부분은 삭제된 바 있다.최고야 ,"(동아일보, 2019-01-29)",동아일보. (2019-01-29). 여야로 번진 ‘이해충돌’… “전수조사-입법” 목소리.
" 손혜원 의원의 전남 목포 구도심 투기 의혹에 이어 장제원 송언석 의원의 이해충돌 문제가 불거졌다. 장 의원은 지난해 말 국회 예산결산위원회 자유한국당 간사로 활동하면서 교육부 지정 ‘역량강화대학’에 대한 예산 지원을 강조했는데 여기엔 그의 형이 총장으로 있는 대학도 포함됐다. 송 의원도 지난해 예결위원으로 지역구인 경북 김천의 김천역을 ‘제2의 대전역’으로 만들겠다고 앞장섰는데 알고 보니 김천역 바로 앞에 가족과 함께 4층짜리 상가건물을 소유하고 있었다. 어디 이들 의원뿐이겠는가. 공직자윤리법에는 ‘공직을 이용해 사적 이익을 추구해서는 안 된다’는 선언적 규정이 2011년 신설됐지만 처벌 조항은 없다. 일명 ‘김영란법’으로 불리는 부정청탁방지법은 김영란 전 국민권익위원회원장이 법안을 만들 당시 부정청탁과 이해충돌 방지를 목적으로 삼았으나 2015년 국회 입법 과정에서 이해충돌 방지 부분이 사라졌다. 이후에도 김영란법의 실현되지 못한 반쪽을 채우기 위한 법안이 발의됐으나 상임위 심사조차 통과하지 못했다. 장 의원은 “우리 집안이 유치원, 전문대학, 4년제 대학을 운영하는데 내가 각급 교육기관에 대한 정부 지원 확대를 요구하면 모두 이해충돌인가”라고 반발했다. 그러나 그런 게 바로 이해충돌이다. 장 의원은 최소한 역량강화대학에 대한 예산 지원은 강조하지 말았어야 했다. 손 의원에게 설혹 문화재 보존을 위한 좋은 의도가 있었다 하더라도 그런 식의 투자는 문화관광위원회에 속한 의원에게 허락돼서는 안 된다. 누군가에겐 나쁜 의도를 위한 변명이 될 수 있기 때문이다. 해당 의원들의 반발은 한국 정치인들의 이해충돌에 대한 이해 수준이 얼마나 떨어지는지를 보여줄 뿐이다. 국회의원의 이해충돌을 전수조사하고 방지를 위한 입법도 해야 한다. 국회 전반의 이해충돌 문제로 관심을 돌리는 것이 손 의원의 의혹을 희석시킬 우려가 없지 않다. 그러나 그가 의원직을 이용해 미공개정보를 활용했는지는 그것대로 수사하되 처벌이나 징계가 어려운 이해충돌은 또 그것대로 방지책을 마련해야 한다. 이해충돌은 의회권력의 고질적인 적폐다. 선거법 개정 시도가 늘 난관에 봉착하는 것도 국회의원에 대한 불신이 깊어 필요한 만큼 의석수를 늘리기 어렵기 때문이다. 불신은 주로 의원들의 특혜와 이해충돌 행위에서 비롯된다. 의원들이 특혜를 줄이고 이해충돌에서 투명한 모습을 보인다면 선거법 개정에도 더 넓은 여지가 열릴 수 있다.","(동아일보, 2019-01-29)",동아일보. (2019-01-29). [사설]‘이해충돌’은 고질적 의원적폐… 그냥 두곤 국회개혁 못 한다.
" 목포 부동산을 다수 매입해 공직자의 이해충돌 방지 의무 위반 논란을 빚는 무소속 손혜원 의원에 이어 자유한국당 장제원·송언석 의원도 같은 의혹이 나왔다. 장 의원은 지난 연말 국회 예결위 예산심사 과정에서 형이 총장인 동서대가 포함된 역량강화대학에 대한 지원 확대를 주장했다. 역량강화대학은 정원을 감축하면 정부 재정지원을 받는데 지원 규모가 당초보다 평균 약 4억원 늘었다. 송 의원은 ‘제2의 대전역’으로 키우겠다고 한 김천역 인근에 부친 등 가족 명의의 건물이 있어 이해충돌 논란이 제기됐다. 이에 한국당의 나경원 원내대표는 “사실 조사를 하겠다”면서도 “손 의원의 부동산 투기 의혹과 권력남용 범죄행위를 묻어 버리려는 것”이라고 반박했으나, 국민이 보기에는 피장파장이다.공직자윤리법은 공직자의 이해충돌 방지 의무를 규정하지만 처벌 규정은 없다. 또 국민권익위원회원회가 2012년에 공직자 이해충돌 방지 조항을 포함한 부정청탁 및 금품수수 금지법(일명 김영란법)을 마련했으나 국회는 너무 포괄적이고 모호하다는 이유로 이해충돌 방지 조항을 제외했다. 당초 원안은 직무 관련자가 공직자 자신, 4촌 이내 친족 등인 경우 해당 직무에서 제척하고 이를 어기면 재산상 이익을 환수하고 최고 7년 이하 징역이나 5000만원 이하 벌금형에 처한다는 것이었다.헌법 46조 3항은 ‘국회의원은 지위를 남용해 재산상 권리·이익을 취하거나 타인에게 취득을 알선할 수 없다’고 적고 있다. 국회는 이를 토대로 김영란법을 고치든, 이해충돌방지법을 만들든 공직자의 이해충돌 방지 의무 위반을 규제해야 한다. 민주당 표창원 의원이 주장했듯 이 기회에 모든 국회의원의 의정활동에서의 이익충돌 여부에 대한 전수조사부터 할 필요가 있다. 인공지능(AI) 기술이면 어려운 일도 아니다.","(서울신문, 2019-01-29)",서울신문. (2019-01-29). [사설] 국회는 헌법정신 반영한 이해충돌방지법 만들어라.
" 무소속 손혜원 의원에 이어 자유한국당 송언석, 장제원 의원도 국회의원 권한을 사적 이익에 이용했다는 의혹이 제기됐다. 경북 김천이 지역구로 김천역을 지나는 남부내륙철도 사업 추진 필요성을 줄기차게 요구해온 송 의원이 역 주변에 본인과 가족 명의로 4층짜리 상가건물을 소유하고 있다고 한다. 송 의원은 김천역을 제2의 대전역으로 만들어야 한다고 주장하기도 했다. 장 의원은 지난해 국회 예산결산특별위원회 간사로 활동하면서 역량강화대학에 대한 지원 확대를 강하게 요청했다. 그런데 역량강화대학으로 지정된 30곳 가운데 친형이 총장으로 재직 중인 동서대가 포함된 사실이 밝혀지면서 논란이 되고 있다. 두 의원의 경우 아직 의혹 제기 단계여서 단정은 어렵지만 정황상 합리적 의심은 가능하다. 더불어민주당은 이번 기회에 이해충돌 의혹이 있는 의원들을 전수조사하자고 공세에 나섰다. 반면 자유한국당은 손 의원의 목포 부동산 매입 의혹을 물타기하려는 정치공세라고 일축했다. 정치권이 진실 규명보다는 또 다른 정쟁거리로 활용하는 모양새다. 공직자가 직무수행에 있어 가장 우선해야 할 가치는 공정성과 합법성에 바탕한 공익이다. 이 과정에서 사적 이해관계가 직무수행에 부적절한 영향을 미치는 상황, 이해충돌이 있을 수 있다. 우리나라의 경우 공직자윤리법에 이해충돌 방지 의무가 자세히 규정돼 있다. 법은 공직을 이용해 사적 이익을 추구하거나 개인 및 기관·단체에 부정한 특혜를 주는 행위, 재직 중 취득한 정보를 부당하게 사적으로 이용하거나 타인에게 부당하게 사용하게 하는 것을 금하고 있다. 그러나 위반 시 처벌 조항이 없어 사실상 사문화된 지 이미 오래다. 그러는 사이 관행이라는 이름으로 곳곳에서 이해충돌이 끊이지 않고 있다. 국민권익위원회원회가 2012년 김영란법으로 불리는 이해충돌방지법 부분을 삭제한 이유가 뭐겠는가. 법 규정이 너무 포괄적이고 모호하다고 당시 내세운 이유는 국회의원 기득권을 지키기 위한 변명일 뿐이다. 이러니 이해충돌 방지를 강화한 법 개정안이 지난해 국회에 제출됐는데도 아직 감감무소식인 것이다.","(국민일보, 2019-01-29)",국민일보. (2019-01-29). [사설] 이해충돌 근절 위한 김영란법 개정 시급하다.
" 미 공익단체 “벌써 1400건이나 된다”사진=AP뉴시스도널드 트럼프(사진)  대통령 일가의 ‘이해충돌(conflict of interest)’ 논란이 미국 사회에서 이슈로 떠올랐다.  미국의 비영리 공익단체 ‘워싱턴의 책임과 윤리를 위한 시민들(CREW)’은 트럼프 대통령이 재임 기간 트럼프 그룹을 중심으로 1400건에 달하는 이해충돌을 일으켰다고 최근 발표했다. CREW가 지난 2년간 대통령 관련 보도와 공공문서, 소셜미디어 등을 분석한 결과다. 이 단체는 “트럼프는 대통령직을 그의 재산을 늘리는 데 이용했다”며 “정부 사업을 트럼프 호텔과 골프클럽에서 진행했고, 트럼프 그룹의 사업을 공식적인 자리에서 빈번하게 치켜세웠다”고 지적했다. 트럼프 대통령이 취임 직후부터 자신이 소유한 트럼프 그룹에 유리한 방향으로 권력을 행사했다는 비판은 계속돼 왔다. 그는 당선 직후 장남 트럼프 주니어의 대규모 부동산 사업을 위해 인도 뭄바이의 부동산개발업자를 비밀리에 만나 비판받았다. 트럼프 행정부가 시진핑 중국 국가주석, 아베 신조 일본 총리와의 회담을 그가 소유한 마러라고 리조트에서 연 것도 문제로 지적됐다. 정상회담에 이목이 집중되면서 이 리조트가 전 세계에 홍보됐기 때문이다. 마러라고 리조트 회원비는 트럼프 대통령 취임 1년 만에 배 이상 뛰었다. 트럼프 대통령이 지난해 유럽 방문 길에 스코틀랜드에서 자신이 소유한 턴베리 골프리조트에 머문 것도 이해충돌로 볼 수 있다. 당시 회견에서 “턴베리 리조트는 환상적”이라며 이곳을 적극 홍보했다. 미 대선 직후 사우디아라비아의 로비스트들이 워싱턴 트럼프 호텔에서 숙박비로 27만 달러를 쓰고, 지난해 뉴욕, 시카고 트럼프 호텔의 사우디 방문객이 급증한 점도 수상한 대목이다. 트럼프 대통령은 “사우디와 어떠한 금전적 이해관계도 없다”고 일축했지만, 그가 반정부 언론인 자말 카슈끄지 살해 의혹을 받는 무함마드 빈 살만 왕세자를 옹호하는 이유도 이런 이해충돌 문제와 연관돼 있다는 관측이 나온다. 딸 이방카도 구설에 올랐다. CREW는 최근 낙후지역 개발·투자에 세제혜택을 주는 ‘기회구역(Opportunity Zones)’ 프로그램과 관련해 이방카의 이해충돌방지법 위반 여부를 조사해 달라고 법무부에 요청했다. 남편 재러드 쿠슈너 일가가 소유한 부동산이 뉴욕·뉴저지·메릴랜드에서 지정된 기회구역에 있어 막대한 세제혜택을 받게 됐기 때문이다. 이방카는 이 프로그램을 강력 지지해 왔다고 CNN방송은 보도했다. 이방카는 자신의 이름을 딴 패션브랜드 사업에서 손을 뗀 후에도 최근 중국에서 5건의 상표권 예비 승인을 받아냈다. 문제는 미국에서 대통령의 이해충돌을 막을 수 있는 법적 규제가 없다는 점이다. 미 연방법인 이해충돌방지법은 공직자 중에서 대통령과 부통령에게는 적용되지 않는다. 정상들이 제한 없이 공무를 수행할 수 있어야 한다는 이유에서다. 트럼프 대통령은 자신의 이해충돌 의혹에 대해 “대통령에게 이해충돌이란 없다. 법은 완전히 내 편”이라고 단언하기도 했다. USA투데이는 “트럼프 대통령의 수많은 이해충돌은 놀랍게도 모두 합법”이라며 “의회는 이해충돌방지법을 개선해 대통령의 이해충돌을 불법으로 만들어야 한다”고 주장했다. 엘리자베스 워런 상원의원은 2017년 1월 대통령과 부통령이 이해충돌 소지가 있는 자산을 백지신탁에 위임해야 한다는 내용의 법 개정안을 발의한 바 있다. ","(국민일보, 2019-01-29)","국민일보. (2019-01-29). 트럼프 대통령 일가도 ‘이해충돌’ 논란, “대통령직을 재산 증식에 이용”."
 이해충돌방지법을 반대할 수 없을 것이다. ,"(한국일보, 2019-01-29)","한국일보. (2019-01-29). [사설]  ‘이해충돌’, 언제까지 ‘편법과 불법’의 담장 위에서 춤출 텐가."
 민주·바른미래 중심 “최우선 과제” 한국당은 “손혜원 물타기” 유보적손혜원 무소속 의원에 이어 송언석·장제원 자유한국당 의원도 이해충돌 논란에 휩싸이면서 정치권의 이해충돌 방지 관련 입법 작업에 속도가 붙을지 주목된다. 표창원 더불어민주당 의원은 29일 통화에서 “국회의원의 이해충돌 방지 관련 전수조사를 담당할 독립기구를 설치하는 내용 등을 명시한 이해충돌방지법을 최우선 과제로 추진하겠다고 밝혔다. 채 의원은 이날 MBC 라디오 인터뷰에서 “현행 공직자윤리법에는 (이해충돌 방지 관련) 선언적 규정만 있고 구체적으로 이해충돌이 되는 경우 어떻게 처신해야 되는가에 대한 내용은 없다”며 “그런 것들을 구체적으로 정하고 처벌조항 등을 담아 법안을 준비하고 있다”고 했다. 같은 당 권은희 의원은 지난해 4월 이해충돌 방지 규정을 강화하는 내용의 법안을 발의한 상태다.그러나 자유한국당은 여당이 현시점에서 관련 입법에 적극 나선 것은 손 의원 논란을 물타기 하려는 시도로 보고 있다. 나경원 한국당 원내대표는 원내대책회의 직후 “손 의원 사건은 이해충돌 여부를 넘어 직권남용이자 권한남용으로 의심된다”며 “(지금 시점에) 이해충돌 관련 이슈에 집중하는 것에는 동의하지 않는다”고 말했다.  ,"(문화일보, 2019-01-29)",문화일보. (2019-01-29). 송언석·장제원도 논란… 이해충돌 방지법 속도내나.
" 與 표창원 이어 박영선도 준비… 바른미래 “최우선 과제” 한국당 “실무진 검토” 표창원 더불어민주당 의원이 28일 국회 의원회관에서 한국일보와 인터뷰 하고 있다. 손혜원 무소속 의원에 이어 송언석ㆍ장제원 자유한국당 의원까지 의정활동을 통해 사익을 추구했다는 의혹에 휩싸이면서 정치권내 제도개선 논의가 봇물 터지듯 이어지고 있다. 국회의원의 이해충돌을 방지하기 위해 여야가 앞다퉈 관련 입법 준비에 착수한 만큼, 2월 국회에서 속도감 있게 처리될 수 있을지 주목된다. 박영선 더불어민주당 의원은 공직자윤리법과 국회법 개정을 준비 중이라고 29일 밝혔다. 현행 공직자윤리법에도 공직자의 이해충돌금지 의무가 규정돼 있지만 사실상 권고규정에 불과한 게 현실이다. 이에 박 의원은 개정안 제2조의2 5항에 이해충돌방지법 차원에서 2015년 김영란법 입법 당시 빠졌던 이해충돌 방지 대목의 성안을 준비하고 있다”고 말했다. 정용기 정책위의장도 “한번 정리를 할 필요가 있는 사안으로 실무진이 검토 중인 단계”라고 설명했다. ","(한국일보, 2019-01-29)","한국일보. (2019-01-29). 여야, 이해충돌 방지법 입법 봇물... 2월 국회서 처리될까."
" 한국의 지난해 ‘부패인식지수’가 역대 최고점을 기록한 것으로 나타났다. 그러나 경제협력개발기구(OECD) 36개국 가운데 30위로 여전히 최하위권에 머물렀다.29일 한국투명성기구에 따르면 이날 국제투명성기구가 발표한 2018년 국가별 부패인식지수(CPI)에서 한국은 100점 만점에 57점을 기록했다. 이는 전년보다 3점 오른 것으로, 역대 최고 점수다.한국투명성기구 관계자들이 29일  중구의 한 빌딩에서 ‘2018년 국가별 부패인식지수(CPI)’ 회견을 하고 있다. 뉴시스국가별 순위를 살펴보면 한국은 조사 대상 180개국 중 45위를 차지했다. 전년도에 비해 6단계 상승했다. 그러나 OECD 국가들과 비교할 땐 최하위권에 그쳤다. 전년보다도 한 단계 하락했다.이와 관련해 국민권익위원회원회는 보도자료를 내어 “부패인식지수가 역대 최고점수를 기록했다”며 “정부의 반부패 개혁의지와 노력이 긍정적 영향을 미친 것”이라고 평가했다.국민권익위원회는 또 “이는 새 정부 출범 후 반부패정책협의회 구축, 5개년 반부패 종합계획 수립, 채용비리 근절 등의 노력이 긍정적 영향을 미친 것”이라고 자평하면서도 OECD 국가 내에서 순위가 하락한 점을 의식한 듯 “다만 조사 기간에 사법부 등이 연루된 권력형 부패, 사립유치원 비리 등이 발생해 대내외 인식에 다소 부정적 영향이 있었다”고 설명했다.국민권익위원회는 오는 2022년까지 부패인식지수 세계 20위권 진입을 목표로 권력형 부패 예방을 위한 이해충돌 방지제도와 민간에 대한 부정청탁 방지제도의 입법화를 추진하고, 부패·공익 신고자 보호제도를 보강할 방침이다. ","(세계일보, 2019-01-29)",세계일보. (2019-01-29). 한국 ‘부패인식지수’ OECD 30위… 점수는 역대 최고.
" 무소속 손혜원 의원의 ‘목포 부동산 투기 의혹’에 이어 자유한국당의 장제원, 송언석 의원의 의정활동이 공직자 이해충돌 방지 의무에 위배되는 것 아니냐는 논란이 뜨겁다. 장 의원은 형이 총장으로 있는 대학이 포함된 역량강화대학 재정지원 확대를 촉구해 논란에 휩싸였다. 송 의원은 가족 명의로 구입한 김천역 인근 상가 건물이 있는 상태에서 남부내륙철도 분기점을 김천역으로 하자고 주장, 이해충돌 위반 아니냐는 눈총을 받고 있다.여당은 손 의원의 투기 의혹에 처음에는 ‘문화재를 사랑한 게 무슨 문제냐’며 옹호하다 야당 의원의 이해충돌 논란이 불거지자 손 의원도 잘못했다며 모든 국회의원 이해충돌 시비를 가리자는 전수조사 방안을 들고나왔다. 야당은 사실관계를 조사하겠다고 하면서도 손 의원의 범죄행위를 가리려는 물타기라고 여당을 비판한다. 물타기 맞다. 똥 묻은 개는 옹호하면서 겨 묻은 개 욕한다는 비아냥이 나온다. 살인자가 절도범 신고하는 것이나 비슷하다는 반응도 나왔다. 여당이 손 의원의 국회 상임위 간사직 박탈과 다른 상임위 배정 및 윤리위 고발 이후, 그리고 야당 의원의 의혹이 제기되기 전에 전수조사를 하자고 했다면 그 진정성을 인정받았을 게다.국민 눈에는 차떼기 원조로 인식되는 야당도 그 나물에 그 밥이요, 도긴개긴이다. ‘더불어한국당’, ‘적폐커플’이라는 비아냥이 절로 나온다. 국회의원의 각종 혜택을 없애고, 숫자도 줄이라는 비판이 달리 나오는 게 아니다.이해충돌 방지 조항은 공직자가 직무상 권한을 남용해 자신이나 가족이 인·허가, 계약, 채용 등의 과정에서 이익을 보지 못하도록 하는 내용이다. 당초 김영란법에 포함됐다가 포괄적이고 모호하다는 이유로 빠졌다. 국회의원은 저마다 입법기관으로 의정활동의 포괄성을 감안하면 의정활동과 이해충돌 여부를 두부모 자르듯 규정하기 어려울 수 있다.하지만 하나 둘 나오는 이해충돌 사례를 보면 이번에 입법 보완을 하지 않으면 분탕질만 늘어날 게다. 직위를 이용해 재산상 이익을 얻었거나 윤리적 문제가 불거진 의원들의 차기 총선 불출마 선언, 재산 기부 등 책임 있는 행동을 기대하는 것은 언감생심 아닌가. 여당 주장대로 국회의원의 의정활동에서의 이해충돌 여부를 전수조사 해 보자. 야당도 손해 볼 게 없는 일이다. 지역구 국회의원이 지역구에 부동산 하나 없는 것도 이상하고, 그렇다고 지역 발전을 위해 의정활동을 하지 않으면 그 또한 직무유기로 비판받을 일 아닌가.장·차관이나 지방자치단체장도 구체적인 이해충돌 방지 의무 방안을 마련해야 한다. 핵심 정보를 토대로 자신에게 유리한 방향으로 정책을 수립하거나, 각종 인·허가권을 토대로 사익을 추구할 가능성을 배제할 수 없다.아쉬운 점은 이해충돌 양태가 정치권뿐만 아니라 언론이나 노조 등 사회 전반에 걸쳐 있다는 점이다. 손석희 앵커가 지난 24일 JTBC 방송에서 뉴스 시작 전 자신이 연루된 폭행 의혹 사건을 언급한 것은 이해충돌 논란감이다. 방송이라는 공공재를 자기 입장을 변호하는 사유재로 활용한 것은 이해충돌 위반 소지가 있다. 언론사 대표는 공인이다. 아무런 언급도 없이 뉴스를 진행하는 게 적절했느냐는 반문이 있을 수 있지만 해명은 보도자료로 대체하면 그만이었다. 노조는 어떤가? 국내 일부 대기업 노조에서 관행처럼 해 온 노조원 자녀 고용세습 논란은 자기 자식의 이익을 노동자 계급의 이익보다 우선시해서다. 카를 마르크스가 주장하는 진정한 계급의식이 없는 것이다.3년 전 촛불을 든 이유를 되짚을 때다. 촛불 민심의 목적은 부정비리 청산이자 공직사회의 ‘선공후사’ 가치 추구였다. 이를 위해 정권교체라는 목표가 제시됐을 뿐이다. 여당이 국민이 공감할 수 없는 구태의연한 오리발 내밀기나 물타기 주장만 한다면 전 정권과 뭐가 다르냐는 비판을 하지 않을 수 없다.중국 전국시대 말기 사상가인 한비자의 행적을 담은 책에 이런 대목이 있다. 굴비를 끔찍이도 좋아하는 재상이 있었다. 하루는 굴비가 한두 마리도 아니고 엄청난 상자로 들어온다. 재상은 바로 하인에게 그 굴비 상자들을 돌려보내라고 한다. 의아한 하인이 그 이유를 묻자 “나는 굴비가 싫어서가 아니라 오랫동안 굴비를 즐기면서 먹기 위해서 돌려보낸다”고 답한다. 굴비라는 뇌물을 먹고 잘리는 것보다 재상 월급으로도 오랫동안 굴비를 즐기고 싶다는 것이다.부자로 살 것인가, 부자로 죽을 것인가. 자문해 볼 일이다.","(서울신문, 2019-01-30)",서울신문. (2019-01-30). [서울광장] ‘더불어한국당’의 이해충돌/박현갑 논설위원.
" 이해충돌방지 규정 공직자윤리법… 구체적 기준, 위반 제재조항 不在손혜원 행동, 불법 단정 힘들어도 선의와 상관없이 전형적 이해충돌법 구체화 요구 외면해온 국회,  유사 문제 막을 입법 서둘러야차진아 ·고려대 법학전문대학원 교수손혜원 의원의 목포 부동산을 두고 투기 여부에 대한 논란이 뜨겁다. 목포 구도심 개발을 주도한 손 의원은 남편이 이사장으로 있는 재단과 친척, 지인 명의로 해당 지역에 부동산을 구입한 것 자체가 투기라는 주장에 대해, 목포 문화재를 위한 선의의 행동이었을 뿐 투기는 전혀 아니었다고 반박하고 있다. 구체적인 사실관계는 앞으로 조사나 수사를 통해 확인되어야 할 것이다. 그러나 이에 앞서 국회의원이라는 고위 공직자로서 올바른 행동이었는지, ‘이해충돌방지의무’에 위배된 것은 아닌지에 대해 정확하게 짚고 넘어갈 필요가 있다. 이해충돌방지의무를 규정하고 있는 공직자윤리법 제2조의 2는 제3항에서 “공직자는 공직을 이용하여 사적 이익을 추구하거나 개인이나 기관·단체에 부정한 특혜를 주어서는 아니 되며, 재직 중 취득한 정보를 부당하게 사적으로 이용하거나 타인으로 하여금 부당하게 사용하게 하여서는 아니 된다”고 명시하고 있다. 이 조항은 공직자의 사적 이익(본인뿐만 아니라 친인척, 친분이 있는 사람, 단체의 이익 포함)과 공직자에게 직무상 요구되는 공익의 충돌을 막기 위한 것이다.  그러나 공직자윤리법 제2조의 2는 일반적·원칙적 규정일 뿐 구체적 기준을 제시하지 않고 있을 뿐 아니라 그 위반에 대한 제재도 명시하지 않고 있기 때문에, 그 실효성이 크지 않다. 이해충돌이 발생하는 경우를 구체화하여 상세한 조항을 두어야 한다는 요청이 오래전부터 있었지만, 주식백지신탁제도와 같이 매우 제한적인 경우에만 구체화되었다. 부정청탁금지법(일명 ‘김영란법’) 제정 당시 이해충돌방지의무 조항을 구체화하려는 시도도 좌절되었다.  그동안 주식백지신탁에 준하여 부동산백지신탁을 도입하자는 주장도 있었고, 백지신탁은 아니더라도 부동산과 관련하여 이해충돌방지의무를 보다 상세하게 규정하여야 한다는 의견도 많았다. 그런데 국회는 번번이 이를 외면했다. 그 결과 이런 사태가 벌어졌을 때, 구체적인 법적 기준을 가지고 문제를 해결하는 것이 불가능하게 됐다. 그래도 일단 공직자윤리법 제2조의 2 제3항을 이 사건에 적용해 보자. 과연 손 의원의 주변 인물들이 ―본인이 인정하는 것처럼 본인의 권유에 따라― 목포 부동산을 구입한 것이 이해충돌에 해당하지 않을까. 손 의원은 사적 이익을 추구하지 않았다고 말한다. 하지만 이해충돌 여부는 본인의 의도와 무관하게 평가되는 것이다. 주식백지신탁의 경우도, 본인의 의도와 무관하게 사익과 공익의 충돌 가능성 자체를 차단하고자 하는 것이다. 그동안 주장되었던 부동산백지신탁이나 부동산에 대한 이해충돌방지의무도 마찬가지다.  법은 선의(善意)를 존중하지만, 선의를 맹신하지는 않는다. 오히려 법은 최선의 결과를 추구하기보다 최악의 결과를 회피하는 데 주안점을 둔다. 그래서 법은 신뢰의 원칙보다 불신의 원칙과 친숙하다. 손 의원의 선의 주장이 설득력을 갖기 어려운 이유다. 박근혜 전 대통령도 오로지 공익만을 추구하였고 자신의 선의가 최순실에 의해 왜곡되었을 뿐이라고, 자신은 조금의 사익도 얻은 바 없다고 주장했었다.  물론 부동산백지신탁이나 부동산 관련 이해충돌방지의무 구체화 조항이 도입되어 있지 않은 현행법하에서 목포 부동산과 관련한 손 의원의 행위가 이해충돌방지의무에 위배되어 명백한 불법이고 처벌되어야 한다고 말하기는 쉽지 않다. 그러나 이러한 행동이 고위 공직자로서 적절한 행동이라고 보기는 어렵다. 그뿐만 아니라 국민이 납득할 것으로 기대할 수도 없다. 더욱이 손 의원은 교육문화체육관광위원회 위원으로 활동하면서, 해당 지역이 문화재특구로 지정되는 데 큰 역할을 했다고 자타가 공인하고 있다. 이것이야말로 본인의 선의와 상관없이 이해충돌의 대표적인 사례로 볼 수밖에 없다. 이 문제가 어떻게 정리될 것인지는 별론으로 하더라도, 국회는 향후 유사한 문제가 발생하지 않도록 이해충돌방지의무 조항을 보다 구체화하는 입법을 서둘러야 한다. 그리하여 지금까지 이해충돌방지의무 구체화 입법이 번번이 좌절되었던 것이 국회의원들 스스로의 이익을 위한 것 아니냐는 국민의 의혹을 불식해야 할 것이다. 오이 밭에서 신발 끈을 고쳐 맬 일 아니며, 오얏나무 밑에서 갓끈을 고치는 것도 고위 공직자는 피해야 한다. 　차진아 ·고려대 법학전문대학원 교수","(동아일보, 2019-01-31)","동아일보. (2019-01-31). [동아광장/차진아]고위 공직자의 이해충돌, 선의가 면책사유는 아니다."
" 고위공직자 취임 후 2년간 관련 민간부분 인허가 등 금지 심상정 위원장이 지난 24일 국회에서 열린 정치개혁특별위원회 전체회의를 주재하고 있다. 심상정 정의당 의원이 고(故) 노회찬 전 의원의 유지를 살려 이해충돌 방지 조항을 포함하는 이해충돌방지법으로 법안 명칭을 변경하고, 국회의원을 포함한 고위공직자의 사적 이해관계 관련 직무수행을 금지하는 내용을 담고 있다. 우선 고위공직자는 임용이나 취임한 날부터 30일 이내에 직전 3년간의 민간부문 업무활동 명세서를 소속기관장에게 제출해야 하고, 이 기간에 관계가 있었던 사람을 대상으로 취임 후 2년간 재정보조를 제공하거나 인ㆍ허가 등 직무를 수행해선 안 된다. 그 밖에도 공직자는 △직무관련자에 유상으로 자문을 제공하는 행위 △소속 공공기관이나 산하기관에 가족을 채용하는 행위 △자신 혹은 가족이 소속 공공기관이나 산하기관과 조달계약을 체결하는 행위 △사적 이익을 위해 직위를 이용하는 행위 등을 할 수 없다. 이를 위반할 경우 최대 3,000만원의 과태료가 부과된다. 정의당은 법안 보완 작업이 완료되는 대로 당론채택 절차에 들어간다. 이정미 정의당 대표는 이날 라디오 인터뷰에서 “공직자와 소속기관장이 특정 직무에 가족이나 친지가 연루돼있다면 이를 맡지 못하게 한다든가, 5급 이상 공직자가 퇴직공무원과 만날 때는 반드시 신고하고 사유를 명백히 한다든가 여러 내용을 모아 당차원 법안을 마련할 것”이라고 말했다.  ","(한국일보, 2019-01-31)",한국일보. (2019-01-31). [단독] 심상정 “노회찬 유지 이어” 이해충돌법안 발의 준비한다.
"  들목포 근대역사문화공간 내 부동산 투기 의혹을 받는 무소속 손혜원 의원이 지난 23일 오후 목포 현장에서 회견을 하고 있다.   안녕하세요. 정치팀에서 정당을 취재하고 있는 송경화입니다. 설 연휴 가족들과 정치 얘기를 한다면 더불어민주당을 탈당한 손혜원 의원이 빠지지 않을 것 같습니다. 요즘 의원들을 만나도 여야를 막론하고 손 의원과 이해충돌방지법를 제대로 할 수 있을까요?     손혜원 의원 논란이, 중요하지만 한동안 수면 아래 가라앉아 있던 국회의원의 이해충돌 문제를 다시 공론화하는 촉매제가 된 것 같습니다.  송경화  ","(한겨레, 2019-02-01)","한겨레. (2019-02-01). ‘손혜원 사태’의 망외소득, 이해충돌의 재발견."
